Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l_wrist_base_link,0.00191998775838077,-2.17534676938413E-08,0.0332314674517473,0,0,0,0.0695038666375085,3.02480603452712E-05,-6.93925958512878E-11,5.01503749466725E-07,3.10214964795132E-05,-1.99074603834946E-11,2.86515789056302E-05,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/l_wrist_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/l_wrist_base_link.STL,,RH56DFX_R_with_Wrist1211-1/镜向R021211-2;RH56DFX_R_with_Wrist1211-1/镜向R011211-2;RH56DFX_R_with_Wrist1211-1/镜向R031211-2;RH56DFX_R_with_Wrist1211-1/镜向R101211-3;RH56DFX_R_with_Wrist1211-1/镜向R091211-4;RH56DFX_R_with_Wrist1211-1/镜向R101211-4;RH56DFX_R_with_Wrist1211-1/镜向R091211-3;RH56DFX_R_with_Wrist1211-1/镜向R111211-4;RH56DFX_R_with_Wrist1211-1/镜向R111211-3,l_wrist_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_wrist_yaw,2.01072214434106E-11,0.00545897802039832,-0.0131919975376266,0,0,0,0.00277890553366271,2.26417227467369E-07,8.61095341004759E-17,-2.38081373178298E-16,1.49079741679729E-07,-1.48845836759757E-08,1.09370482342779E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/l_wrist_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/l_wrist_yaw.STL,,RH56DFX_R_with_Wrist1211-1/镜向R051211-2,l_w_y,y_a,l_wrist_yaw_joint,revolute,-0.0055,0,0.0785,1.5708,0,-1.5708,l_wrist_base_link,0,0,-1,1,2,0,1,,,,,,,,
l_hand_base,-0.00203701184983107,0.0326112668966462,-0.0155668752323911,0,0,0,0.175357386592075,0.000121544991663851,-6.56650332338833E-07,5.20578126071962E-07,7.52780099608673E-05,4.53525030951461E-07,7.95760415441486E-05,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/l_hand_base.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/l_hand_base.STL,,RH56DFX_R_with_Wrist1211-1/镜向R071211-2;RH56DFX_R_with_Wrist1211-1/镜向R081211-2;镜向手掌-R1211-2,l_w_p,p_a,l_hand_base_joint,revolute,0.015,0,-0.0055,-0.11587,1.5708,-0.11587,l_wrist_yaw,0,0,-1,1,2,0,1,,,,,,,,
left_index_1,0.000461541435804694,0.0116515999092897,-0.00590003371767694,0,0,0,0.00313593515786047,4.99043606667905E-07,-3.95128282376775E-08,-5.34438734626662E-14,1.54311839890342E-07,-6.71702420403598E-12,5.22966345984074E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_1.STL,,镜向四指中节1211-7,l_5,a_5,left_index_1_joint,revolute,-0.0022453,0.10413,0.018118,0.034907,0,0,l_hand_base,0,0,-1,1,2,0,1,,,,,,,,
left_index_rubber_1,4.68171661993644E-07,-0.000277303458659173,-0.00810702708971139,0,0,0,0.00100751029814369,9.52671554653264E-08,1.84209366253391E-12,1.13663010160574E-12,6.33345334579932E-08,-1.10134813781099E-08,8.23782040235098E-08,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_rubber_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_rubber_1.STL,,镜向食指中节橡胶1111211-2,i_r_1,Axis_left_index_rubber_1_joint,left_index_rubber_1_joint,fixed,0.01096212818371,0.0154754543575723,-0.00589908996829794,-1.63727241823797,1.57076102968367,-1.57079632684175,left_index_1,0,0,0,,,,,,,,,,,,
left_index_2,0.000846459676133199,0.0159699536063371,-0.00510110719069309,0,0,0,0.00329259625036443,2.85619906326361E-07,-9.65833645685913E-08,1.13183640640641E-11,9.390204363466E-08,2.14810289007695E-11,3.31433102179914E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_2.STL,,镜向食指指尖组件1211-4,l_6,a_6,left_index_2_joint,revolute,0.00711888977031654,0.031333910351405,-0.000800000000000023,0,0,0,left_index_1,0,0,-1,1,2,0,1,,,,,,,,
left_index_rubber_2,3.71014377972823E-06,0.0158540066839677,-0.000683115137425958,0,0,0,0.00119004560800986,1.35899798757468E-07,8.50258176038274E-11,-8.30283954597309E-12,2.32721303061557E-08,-1.59661991933365E-08,1.37431891967755E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_rubber_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_rubber_2.STL,,镜向食指指尖橡胶1111211-2,i_r_2,Axis_left_index_rubber_2_joint,left_index_rubber_2_joint,fixed,0.00701471041712752,0.0124857131697119,-0.00505570909095784,-1.45082090935432,1.56380581495719,-1.57079632679513,left_index_2,0,0,0,,,,,,,,,,,,
left_index_pad,4.72282110058897E-06,-0.00107358686744947,-0.000867315001026159,0,0,0,1.74942869080946E-05,1.97791136671661E-11,8.97449012100217E-15,-1.07077919025427E-13,2.4905734214284E-11,-1.72170853830108E-12,3.95652071926162E-11,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_pad.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_pad.STL,,镜向食指指肚小件1211-3,i_p,Axis_left_index_pad_joint,left_index_pad_joint,fixed,-3.002438161398E-05,0.0237882080122745,0.00562165601405612,0.0696904105640626,4.36438131661698E-05,0.00036202589968291,left_index_rubber_2,0,0,0,,,,,,,,,,,,
left_index_tip,-0.000856665300146248,1.89922067794779E-08,-0.00102183808192999,0,0,0,1.72886638937717E-05,2.56768040770671E-11,-3.18365589820315E-16,-2.20292569548206E-12,1.54551010736424E-11,-2.29614533759763E-16,3.38497054068354E-11,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_tip.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_index_tip.STL,,镜向食指指尖小件1211-3,i_t,Axis_left_index_tip_joint,left_index_tip_joint,fixed,-1.30217165712487E-05,0.0312210274719897,0.00245735122592225,0.013257848934878,-1.15442763241895,-1.58292646914228,left_index_rubber_2,0,0,0,,,,,,,,,,,,
left_middle_1,0.000461541629694223,0.0116515965600692,-0.00590004767005933,0,0,0,0.00313593954054069,4.99044430807319E-07,-3.95130872013865E-08,1.02137710024988E-13,1.54311900293979E-07,-7.36565084928712E-12,5.22966692171004E-07,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_middle_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56DFX_L_with_Wrist/meshes/left_middle_1.STL,,镜向四指中节1211-6,l_7,a_7,left_middle_1_joint,revolute,-0.0022453300191158,0.104699999999839,-0.00119999813570634,0,0,0,l_hand_base,0,0,-1,1,2,0,1,,,,,,,,
