Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
r_wrist_base_link,0.00191999281553198,-2.13766217470324E-08,0.0332314676151761,0,0,0,0.0695038586465572,3.02480661282368E-05,-6.95936278882357E-11,5.01501322568574E-07,3.10214945016603E-05,-1.96609379158618E-11,2.86515730117503E-05,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/r_wrist_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/r_wrist_base_link.STL,,RH56DFX_R_with_Wrist1210-1/R111210-1;RH56DFX_R_with_Wrist1210-1/R101210-1;RH56DFX_R_with_Wrist1210-1/R111210-2;RH56DFX_R_with_Wrist1210-1/R101210-2;RH56DFX_R_with_Wrist1210-1/R021210-1;RH56DFX_R_with_Wrist1210-1/R031210-1;RH56DFX_R_with_Wrist1210-1/R011210-1;RH56DFX_R_with_Wrist1210-1/R091210-2;RH56DFX_R_with_Wrist1210-1/R091210-1,wrist_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_wrist_yaw,3.74516494205945E-11,0.00545897820466844,0.0131919971923186,0,0,0,0.0027789058545723,2.26417228011718E-07,-1.56990820175883E-16,5.38487744834855E-16,1.49079739934158E-07,1.48845839380448E-08,1.09370485183286E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/r_wrist_yaw.STL,0,1,1,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/r_wrist_yaw.STL,,RH56DFX_R_with_Wrist1210-1/R051210-1,w_y,y_a,r_wrist_yaw_joint,revolute,-0.0055,0,0.0785,1.5708,0,1.5708,r_wrist_base_link,0,0,1,1,2,0,1,,,,,,,,
r_hand_base,0.00186722142687372,0.03425462641545,0.014403857640475,0,0,0,0.460583267266941,0.000329494407160081,1.91477414348783E-06,-1.39936390260134E-06,0.000194341011884896,1.21251307175976E-06,0.000213768215595836,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/r_hand_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/r_hand_base.STL,,手掌-R1210-1;RH56DFX_R_with_Wrist1210-1/R081210-1;RH56DFX_R_with_Wrist1210-1/R071210-1,w_p,p_a,r_hand_base_joint,revolute,-0.015,0,0.0055,3.1414,1.5708,3.1414,r_wrist_yaw,0,0,-1,1,2,0,1,,,,,,,,
right_thumb_1,0.000675361243917746,0.00433554414064959,-0.00508779581139575,0,0,0,0.00485414527400047,1.9609332795642E-07,-3.48579868905759E-08,-3.39216862091962E-09,1.43278320785818E-07,-8.19845149663523E-09,1.68937481009729E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_1.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_1.STL,,拇指基座R_RH56-21A1210-1,r_1,a_1,right_thumb_1_joint,revolute,-0.0153000040088447,0.0343000000007003,0.036400000219911,1.5707963267949,0,-3.14159265358979,r_hand_base,0,0,1,1,2,0,1,,,,,,,,
right_thumb_2,-0.021702059702569,0.0140073366357873,0.00802385604823092,0,0,0,0.0314640303708102,4.77080502997218E-06,2.24565380204443E-06,-1.93384804492673E-09,5.25070317061785E-06,-6.93473068910724E-10,9.41384151324246E-06,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_2.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_2.STL,,拇指根部1210-1,r_2,a_2,right_thumb_2_joint,revolute,0.0107038256289915,0.00903759464150421,-0.00649999999999998,1.5707963267949,0,-1.83259571459404,right_thumb_1,0,0,1,1,2,0,1,,,,,,,,
right_thumb_3,-0.00916388835013904,-0.000213690008193602,0.00750028797357696,0,0,0,0.00637737480666728,7.06810039556575E-07,1.8064821102149E-07,-7.56321985719409E-12,5.60101216987723E-07,6.09546956255714E-12,8.41964957548188E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_3.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_3.STL,,拇指中节1210-1,r_3,a_3,right_thumb_3_joint,revolute,-0.0415838804016112,0.0375080548719081,0.00050000000000007,0,0,0,right_thumb_2,0,0,1,1,2,0,1,,,,,,,,
right_thumb_4,-0.00556381960339052,0.00321786469032558,0.00598762142813954,0,0,0,0.0025004461294059,7.83011892756105E-08,4.70576750033798E-08,1.10924492038399E-10,7.83149658560793E-08,-2.74907781669826E-10,1.30863162691476E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_4.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_4.STL,,拇指指尖1210-1,r_4,a_4,right_thumb_4_joint,revolute,-0.0183934390204584,0.0132218952161126,0.0015,0,0,0,right_thumb_3,0,0,1,1,2,0,1,,,,,,,,
right_thumb_rubber_3,0.000133677754111619,0.00249789544313434,-0.00737807315210834,0,0,0,0.00232428277409971,1.1738940345995E-07,1.3316403109373E-10,5.42230494538002E-12,6.71016287130116E-08,-7.29911404958279E-09,1.17101548394252E-07,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_rubber_3.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_rubber_3.STL,,大拇指指尖橡胶1111210-1,t_r_3,Axis_right_thumb_rubber_3_joint,right_thumb_rubber_3_joint,fixed,-0.00161799622019063,0.00970901340884195,0.00599999825111233,-3.14145330992041,1.55262780459038,-2.54991785073113,right_thumb_4,0,0,0,,,,,,,,,,,,
right_thumb_pad,-3.17863613624736E-08,-0.00152836456065816,-0.0014060654960278,0,0,0,0.000138969107299723,3.88380090334865E-10,-2.20402729674617E-15,3.72337458984911E-15,2.48185589616352E-10,-1.23321553256561E-11,5.07570387988192E-10,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_pad.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_pad.STL,,拇指指肚小件1210-1,t_p,Axis_right_thumb_pad_joint,right_thumb_pad_joint,fixed,1.97306155155508E-05,0.00787683873056354,-0.00108764909180575,-0.32308105919377,-0.0181645215163438,1.44824432616579E-05,right_thumb_rubber_3,0,0,0,,,,,,,,,,,,
right_thumb_tip,-2.47505902372935E-05,0.00144636195662112,-0.00180325741638071,0,0,0,0.00017110035356973,5.03295308586156E-10,1.10384598900224E-12,1.06224755236763E-12,3.76514497106408E-10,8.13921166925614E-11,5.79466758416002E-10,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_tip.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://RH56DFX_R_with_Wrist/meshes/right_thumb_tip.STL,,拇指指尖小件1210-1,t_t,Axis_right_thumb_tip_joint,right_thumb_tip_joint,fixed,0.000137071096497604,0.0150376112085459,-0.00754156328997224,-1.34664653486349,-0.0211118546108423,0.0134662732683287,right_thumb_rubber_3,0,0,0,,,,,,,,,,,,
